,FLARE_TYPE,COINCIDENCE,TOTPOT_1,TOTPOT_2,TOTPOT_3,TOTPOT_4,TOTPOT_5
717,C,False,2.9217e+23,2.8573e+23,2.8787e+23,2.8552e+23,2.8617e+23
718,C,True,2.0909e+22,2.1211e+22,2.131e+22,2.1577e+22,2.0413e+22
719,C,False,2.6605e+23,2.6663e+23,2.8122e+23,2.8233e+23,2.8014e+23
720,C,False,5.0508e+21,5.0956e+21,4.9337e+21,4.8098e+21,4.7811e+21
721,C,False,1.9006e+22,1.9486e+22,1.9956e+22,1.9801e+22,2.0316e+22
722,C,False,1.014e+23,1.0237e+23,1.0375e+23,1.0904e+23,1.1172e+23
723,C,False,4.3704e+23,4.3332e+23,4.3475e+23,4.3545e+23,4.4049e+23
724,C,False,8.1683e+21,8.056e+21,7.6961e+21,7.4707e+21,7.6725e+21
725,C,True,8.0658e+22,7.821e+22,7.7469e+22,7.5926e+22,7.8781e+22
726,C,False,4.1497e+23,4.0909e+23,4.0859e+23,4.0996e+23,4.0823e+23
727,C,False,4.1655e+23,4.1464e+23,4.1248e+23,4.1048e+23,4.1144e+23
728,C,False,1.1216e+23,1.1348e+23,1.13e+23,1.1221e+23,1.1296e+23
729,C,False,2.3223e+23,2.437e+23,2.3585e+23,2.3786e+23,2.2942e+23
730,C,False,1.1054e+23,1.0874e+23,1.0861e+23,1.1469e+23,1.1577e+23
731,C,False,1.1404e+23,1.1655e+23,1.1655e+23,1.1729e+23,1.1701e+23
732,C,False,2.3492e+23,2.3541e+23,2.3553e+23,2.3413e+23,2.3343e+23
733,C,False,7.3916e+23,7.3855e+23,7.398e+23,7.3612e+23,7.3609e+23
734,C,False,7.4268e+23,7.3933e+23,7.3735e+23,7.356e+23,7.3212e+23
735,C,False,8.6088e+21,8.1961e+21,8.1512e+21,7.8548e+21,7.599e+21
736,C,False,1.3581e+23,1.3605e+23,1.3506e+23,1.3596e+23,1.366e+23
737,C,False,4.3184e+23,4.3435e+23,4.3419e+23,4.4179e+23,4.3902e+23
738,C,False,5.5363e+23,5.5698e+23,5.6114e+23,5.6047e+23,5.8257e+23
739,C,False,8.5074e+22,8.3787e+22,8.4263e+22,8.5298e+22,8.7011e+22
740,C,False,2.1324e+23,2.1154e+23,2.116e+23,2.1292e+23,2.1011e+23
741,C,False,6.9106e+22,7.0018e+22,6.9734e+22,6.9398e+22,6.8668e+22
742,C,False,6.179e+22,6.0777e+22,5.976e+22,5.9238e+22,5.9557e+22
743,C,False,1.8886e+24,1.8826e+24,1.8887e+24,1.8909e+24,1.8885e+24
744,C,False,2.3868e+23,2.3653e+23,2.4135e+23,2.4465e+23,2.4872e+23
745,C,False,1.029e+24,1.0301e+24,1.0303e+24,1.1915e+24,1.0336e+24
746,C,False,2.789e+23,2.791e+23,2.7599e+23,2.7241e+23,2.7331e+23
747,C,False,1.2894e+23,1.2909e+23,1.2717e+23,1.2817e+23,1.2888e+23
748,C,False,1.9215e+23,1.9688e+23,1.9789e+23,1.9711e+23,1.9948e+23
749,C,False,1.0186e+24,1.0144e+24,1.0157e+24,1.0181e+24,1.0162e+24
750,C,False,4.2189e+23,4.2114e+23,4.2287e+23,4.2357e+23,4.2487e+23
751,C,False,4.482e+23,4.4766e+23,4.4505e+23,4.4375e+23,4.4161e+23
752,C,False,2.5973e+22,2.5982e+22,2.5954e+22,2.6377e+22,2.7375e+22
753,C,False,2.2989e+23,2.282e+23,2.2945e+23,2.2579e+23,2.2694e+23
754,C,False,7.7545e+22,7.858e+22,7.7468e+22,7.8617e+22,7.8294e+22
755,C,False,6.7579e+23,6.7576e+23,6.6578e+23,6.7326e+23,6.809e+23
756,C,False,2.7989e+21,4.0673e+21,5.3994e+21,9.1512e+21,1.1858e+22
757,C,False,1.1637e+23,1.1604e+23,1.1723e+23,1.1947e+23,1.1962e+23
758,C,False,3.9823e+23,4.0014e+23,3.995e+23,3.9742e+23,3.9753e+23
759,C,False,1.0479e+23,1.0338e+23,1.0236e+23,1.0282e+23,1.0297e+23
760,C,False,4.0517e+23,4.1536e+23,4.0594e+23,4.065e+23,4.1521e+23
761,C,False,0.0,0.0,0.0,0.0,0.0
762,C,False,6.8343e+21,6.4861e+21,6.3437e+21,6.117e+21,5.7529e+21
763,C,False,3.7272e+23,3.7166e+23,3.7474e+23,3.7547e+23,3.7491e+23
764,C,False,6.6672e+23,6.6814e+23,6.7071e+23,6.7175e+23,6.7481e+23
765,C,False,3.5136e+22,3.3715e+22,3.418e+22,3.5623e+22,3.4693e+22
766,C,False,2.1794e+23,2.1885e+23,2.2188e+23,2.1796e+23,2.2166e+23
767,C,False,2.4524e+23,2.3327e+23,2.4072e+23,2.3294e+23,2.3632e+23
768,C,False,1.4574e+23,1.4689e+23,1.4661e+23,1.4535e+23,1.4568e+23
769,C,False,1.6364e+23,1.6454e+23,1.6401e+23,1.624e+23,1.634e+23
770,C,False,2.0485e+22,2.052e+22,2.0786e+22,2.103e+22,2.1422e+22
771,C,False,2.2731e+22,2.272e+22,2.2103e+22,2.3877e+22,2.569e+22
772,C,False,1.1597e+24,1.1642e+24,1.1641e+24,1.1674e+24,1.1778e+24
773,C,False,8.0658e+22,7.821e+22,7.7469e+22,7.5926e+22,7.8781e+22
774,C,False,1.0957e+24,1.0957e+24,1.0969e+24,1.0966e+24,1.0961e+24
775,C,False,6.9147e+23,6.8863e+23,6.8754e+23,6.8793e+23,6.8867e+23
