,FLARE_TYPE,COINCIDENCE,TOTUSJH_1,TOTUSJH_2,TOTUSJH_3,TOTUSJH_4,TOTUSJH_5
1884,B,False,145.96,207.39,241.71,327.24,375.66
1885,B,False,221.76,226.94,223.75,225.41,222.56
1886,B,False,120.06,114.5,112.16,111.05,110.45
1887,B,False,157.83,143.27,142.96,149.47,148.79
1888,B,False,135.23,138.05,143.39,148.21,158.78
1889,B,False,291.2,330.51,340.22,366.64,373.41
1890,B,False,434.33,435.54,440.18,433.39,432.53
1891,B,False,369.25,375.18,367.86,378.12,391.11
1892,N,False,56.1,57.643,54.066,55.681,53.294
1893,N,False,55.894,53.692,54.727,54.488,55.506
1894,N,False,63.771,64.04,48.673,52.406,50.934
1895,N,False,128.08,127.04,126.97,130.57,133.93
1896,N,False,29.841,29.557,33.889,33.929,30.841
1897,N,False,56.205,58.853,56.357,57.601,58.435
1898,N,False,50.828,49.805,47.424,48.282,44.018
1899,N,False,72.646,69.824,71.33,73.06,74.317
1900,N,False,102.44,102.98,102.77,97.482,95.909
1901,N,False,81.738,80.074,77.447,72.814,75.875
1902,N,False,66.433,64.245,60.563,64.359,62.687
1903,N,False,73.096,70.841,70.424,67.22,69.317
1904,N,False,150.18,148.97,159.11,166.19,166.95
1905,N,False,112.97,110.72,111.52,112.57,110.92
1906,N,False,116.13,112.45,112.35,105.45,101.44
1907,N,False,105.6,111.67,110.66,108.13,105.56
1908,N,False,45.402,40.382,39.483,45.96,46.032
1909,N,False,230.72,231.99,231.14,228.0,225.95
1910,N,False,78.211,76.793,86.268,76.726,75.271
1911,N,False,40.62,37.649,39.575,40.59,39.574
1912,N,False,183.07,180.13,162.88,166.78,159.43
1913,N,False,432.55,419.59,430.04,427.67,415.79
1914,N,False,21.56,24.509,32.795,30.613,32.854
1915,N,False,186.13,181.45,189.33,182.57,187.77
1916,N,False,32.782,37.972,40.158,42.697,50.695
1917,N,False,1548.6,1549.7,1565.1,1557.8,1650.8
1918,N,False,2853.0,2813.7,2807.2,2779.1,2791.0
1919,N,False,130.9,138.92,137.18,137.0,134.68
1920,N,False,2638.2,2627.1,2599.4,2590.1,2574.1
1921,N,False,138.86,140.81,146.85,143.43,138.05
1922,N,False,1400.9,1406.4,1419.6,1416.0,1418.6
1923,N,False,257.48,260.25,253.47,252.2,251.54
1924,N,False,117.58,120.23,127.38,123.48,122.14
1925,N,False,50.681,46.668,47.272,49.777,54.377
1926,N,False,36.709,37.122,35.93,37.151,38.022
1927,N,False,51.781,54.766,51.547,47.454,48.079
1928,N,False,49.551,49.325,54.271,54.836,53.126
