,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,AREA_ACR_1,MEANGAM_1,MEANGBH_1,MEANGBT_1,MEANGBZ_1,MEANJZD_1,MEANJZH_1,MEANPOT_1,MEANSHR_1,R_VALUE_1,SAVNCPP_1,SHRGT45_1,TOTPOT_1,TOTUSJH_1,TOTUSJZ_1,USFLUX_1,d_l_f_1,g_s_1,slf_1
112,M,True,275.096,1131.4599999999998,46.1168,58.66459999999999,105.58,108.91199999999999,0.296054,0.00982132,8400.8,38.374199999999995,4.343500000000001,14964400000000.0,33.4244,3.1251400000000004e+23,1408.8,29725000000000.0,1.649e+22,47.919999999999995,8624.48,3.8830200000000006
113,M,False,288.5233333333333,1051.4333333333334,42.27133333333334,54.21033333333333,109.57333333333334,112.98,0.11356333333333334,0.0085196,7361.766666666666,35.42766666666666,4.411466666666667,14251000000000.0,26.694666666666667,3.310733333333334e+23,1589.5333333333335,34300000000000.0,2.0331666666666666e+22,79.67200000000001,9318.533333333333,6.2262666666666675
114,M,True,243.72200000000004,1022.54,43.278,52.75079999999999,104.18599999999999,107.84200000000001,0.1319548,0.00712396,6909.92,36.8278,4.49924,8267480000000.0,28.9426,3.13946e+23,1516.96,34441200000000.0,2.0006199999999997e+22,87.43599999999999,9061.84,6.9070599999999995
115,M,False,261.30800000000005,1048.3200000000002,37.8448,48.2786,99.69379999999998,107.35999999999999,0.061831159999999996,0.00619922,6545.5,32.89,4.55806,13798200000000.0,21.1266,3.66356e+23,2037.52,41258400000000.0,2.77782e+22,92.1674,6777.94,7.274939999999999
116,M,False,126.26200000000001,1020.0,31.9224,34.906400000000005,75.054,76.8322,-0.0853572,-0.00202596,3204.2400000000002,26.4692,4.1418800000000005,5215880000000.0,11.7784,2.6508599999999995e+23,1886.3,36678400000000.0,4.1091000000000006e+22,229.342,1378.64,28.449599999999997
117,M,True,,,,,,,,,,,,,,,,,,,,
118,M,True,,,,,,,,,,,,,,,,,,,,
119,M,True,,,,,,,,,,,,,,,,,,,,
120,M,True,,,,,,,,,,,,,,,,,,,,
121,M,False,,,,,,,,,,,,,,,,,,,,
122,M,False,,,,,,,,,,,,,,,,,,,,
123,M,True,,,,,,,,,,,,,,,,,,,,
124,M,False,,,,,,,,,,,,,,,,,,,,
125,M,False,,,,,,,,,,,,,,,,,,,,
126,M,False,,,,,,,,,,,,,,,,,,,,
127,M,True,,,,,,,,,,,,,,,,,,,,
128,M,False,,,,,,,,,,,,,,,,,,,,
129,M,False,1030.128,1941.2400000000002,48.3726,50.809999999999995,78.2048,92.79280000000001,0.1416632,-0.012884999999999999,17846.8,42.5852,4.912319999999999,20319600000000.0,41.40560000000001,1.8945599999999998e+24,5156.4800000000005,81060400000000.0,6.17956e+22,271.224,88775.2,10.169599999999999
130,M,False,920.6899999999999,1940.8400000000001,48.7766,52.5832,80.0232,95.3668,0.071134,-0.012501799999999999,19067.2,42.982400000000005,4.950280000000001,19726800000000.0,42.367200000000004,1.8647999999999996e+24,5028.139999999999,78430800000000.0,5.83188e+22,271.264,79436.4,10.140200000000002
131,M,True,,,,,,,,,,,,,,,,,,,,
132,M,False,47.2,51.94,38.168,45.703,97.693,103.11,-0.049159,-0.0092913,3114.8,27.668,3.0754,2110400000000.0,15.118,2.1014e+22,229.97,3934800000000.0,3.4833e+21,0.0,0.0,0.0
133,M,True,352.688,1916.06,51.0324,51.6414,77.4648,92.8788,0.0559982,-0.00496462,19550.6,45.4632,4.94808,8853340000000.0,46.6392,1.84194e+24,4998.2,78670600000000.0,5.3262600000000005e+22,263.49000000000007,86975.6,9.769020000000001
134,M,False,,,,,,,,,,,,,,,,,,,,
135,M,False,545.0825,1810.9499999999998,51.94,56.61175,85.571,100.85249999999999,0.21448,-0.0082046,21107.0,46.4455,5.1271,17832250000000.0,49.095,1.8625250000000001e+24,5506.3,78233250000000.0,5.2169e+22,259.78,139387.5,8.650625
136,M,False,387.966,1821.3200000000002,53.940999999999995,57.7462,83.1556,95.90360000000001,0.18985800000000003,-0.00602274,20451.2,48.295,5.14842,14598600000000.0,52.1494,1.7493e+24,5187.28,77360200000000.0,4.7239e+22,261.618,136306.0,9.12966
137,M,False,369.348,1901.1600000000003,60.939800000000005,60.7768,81.03059999999999,91.559,0.301696,-0.006561880000000001,20768.2,53.939800000000005,4.92716,9558740000000.0,62.536,1.55286e+24,3499.1200000000003,64080000000000.0,3.74992e+22,293.928,80979.4,10.4574
138,M,True,214.608,479.6,57.587199999999996,63.3112,98.07020000000001,99.08840000000001,0.42135799999999995,-0.014299399999999999,13945.0,48.57940000000001,3.89178,8434900000000.0,51.9254,2.78014e+23,824.9680000000001,17325200000000.0,8.96764e+21,116.4008,5469.76,9.811060000000001
139,M,True,,,,,,,,,,,,,,,,,,,,
140,M,False,513.562,598.682,61.8624,68.1102,99.6812,100.67259999999999,0.43738,-0.0313956,16648.8,50.8486,4.2131,19433400000000.0,56.19200000000001,3.6171200000000004e+23,1000.2060000000001,19203600000000.0,9.638800000000002e+21,70.2336,20929.2,5.5176
141,M,False,765.025,1571.9250000000002,48.380750000000006,54.1995,93.4075,99.08249999999998,0.1211875,-0.01458,12805.5,42.02375,4.626175,33413500000000.0,40.752,8.921600000000001e+23,2802.3,52401750000000.0,3.7259249999999998e+22,193.3125,25988.25,8.759425
142,M,False,,,,,,,,,,,,,,,,,,,,
143,M,False,,,,,,,,,,,,,,,,,,,,
144,M,True,,,,,,,,,,,,,,,,,,,,
145,M,True,,,,,,,,,,,,,,,,,,,,
146,M,True,,,,,,,,,,,,,,,,,,,,
147,M,True,,,,,,,,,,,,,,,,,,,,
148,M,True,,,,,,,,,,,,,,,,,,,,
149,M,True,,,,,,,,,,,,,,,,,,,,
150,M,False,,,,,,,,,,,,,,,,,,,,
151,M,False,,,,,,,,,,,,,,,,,,,,
152,M,False,,,,,,,,,,,,,,,,,,,,
153,M,False,,,,,,,,,,,,,,,,,,,,
154,M,True,,,,,,,,,,,,,,,,,,,,
155,M,False,,,,,,,,,,,,,,,,,,,,
156,M,False,,,,,,,,,,,,,,,,,,,,
157,M,True,,,,,,,,,,,,,,,,,,,,
158,M,True,,,,,,,,,,,,,,,,,,,,
159,M,False,,,,,,,,,,,,,,,,,,,,
160,M,True,,,,,,,,,,,,,,,,,,,,
161,M,False,,,,,,,,,,,,,,,,,,,,
162,M,False,,,,,,,,,,,,,,,,,,,,
163,M,True,,,,,,,,,,,,,,,,,,,,
164,M,False,,,,,,,,,,,,,,,,,,,,
165,M,False,,,,,,,,,,,,,,,,,,,,
166,M,False,,,,,,,,,,,,,,,,,,,,
167,M,False,,,,,,,,,,,,,,,,,,,,
168,M,False,,,,,,,,,,,,,,,,,,,,
169,M,False,,,,,,,,,,,,,,,,,,,,
170,M,False,,,,,,,,,,,,,,,,,,,,
171,M,False,,,,,,,,,,,,,,,,,,,,
172,M,True,,,,,,,,,,,,,,,,,,,,
173,M,True,,,,,,,,,,,,,,,,,,,,
174,M,False,,,,,,,,,,,,,,,,,,,,
175,M,False,,,,,,,,,,,,,,,,,,,,
176,M,True,,,,,,,,,,,,,,,,,,,,
177,M,False,,,,,,,,,,,,,,,,,,,,
178,M,False,,,,,,,,,,,,,,,,,,,,
179,M,False,,,,,,,,,,,,,,,,,,,,
180,M,False,,,,,,,,,,,,,,,,,,,,
181,M,False,,,,,,,,,,,,,,,,,,,,
182,M,False,,,,,,,,,,,,,,,,,,,,
183,M,False,,,,,,,,,,,,,,,,,,,,
184,M,False,,,,,,,,,,,,,,,,,,,,
185,M,True,76.9942,646.4240000000001,41.7064,65.6824,126.518,124.6,0.21845600000000004,0.00419252,3342.8,33.4202,3.67348,2575320000000.0,21.2712,8.16842e+22,979.176,21535400000000.0,1.0498399999999999e+22,186.01399999999998,1518.8400000000001,25.243199999999998
186,M,False,,,,,,,,,,,,,,,,,,,,
187,M,False,5.22822,240.058,43.0668,77.5518,138.09,136.892,0.48669799999999996,-0.0010367419999999998,4884.339999999999,29.719,1.09904,1056640000000.0,19.165,2.69292e+22,197.944,4111600000000.0,2.76332e+21,0.0,0.0,0.0
188,M,False,,,,,,,,,,,,,,,,,,,,
189,M,False,,,,,,,,,,,,,,,,,,,,
190,M,False,,,,,,,,,,,,,,,,,,,,
191,M,True,,,,,,,,,,,,,,,,,,,,
192,M,True,,,,,,,,,,,,,,,,,,,,
193,M,False,,,,,,,,,,,,,,,,,,,,
194,M,False,,,,,,,,,,,,,,,,,,,,
195,M,False,,,,,,,,,,,,,,,,,,,,
196,M,True,875.45,2071.1800000000003,45.35039999999999,51.4332,81.6264,94.07140000000001,-0.18026400000000004,-0.0114252,11872.4,39.0924,4.873620000000001,29652600000000.0,35.5006,1.20832e+24,4460.679999999999,76173000000000.0,5.85194e+22,354.346,49576.6,15.8984
