,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10,AREA_ACR_11,AREA_ACR_12,AREA_ACR_13,AREA_ACR_14,AREA_ACR_15
1360,B,False,528.17,522.55,524.69,522.3,522.12,523.02,521.48,521.54,516.13,515.53,515.56,515.37,518.76,518.7,518.42
1361,B,False,227.34,229.82,232.9,228.81,226.23,220.24,221.53,218.1,217.27,215.99,213.17,215.1,218.22,215.15,215.43
1362,B,False,225.15,226.09,228.02,219.29,219.6,220.94,220.44,219.46,218.08,217.07,218.7,221.49,225.4,220.81,222.91
1363,B,False,486.18,481.07,481.83,479.43,480.98,479.41,477.26,478.3,477.39,476.51,475.51,470.1,467.59,466.46,463.51
1364,B,True,56.844,56.893,57.746,61.709,65.102,63.486,66.669,70.24,70.55,70.91,70.518,70.988,70.434,71.312,69.153
1365,B,False,371.09,370.75,362.29,359.66,366.39,364.6,368.25,368.2,372.93,382.05,381.25,385.24,389.11,391.1,391.16
1366,B,True,92.942,95.548,95.715,98.432,99.964,103.18,103.4,104.54,104.3,107.92,112.27,112.81,118.15,121.26,122.02
1367,B,True,264.87,262.75,266.89,262.41,259.5,256.18,258.54,257.2,256.67,260.97,256.4,257.2,252.93,252.95,257.38
1368,B,True,227.48,228.01,228.32,222.75,221.12,221.47,225.95,224.36,225.11,224.81,224.55,223.99,222.2,222.38,218.48
1369,B,False,13.26,12.568,12.343,12.852,13.725,14.671,14.881,14.999,13.954,14.522,15.914,14.274,14.301,14.685,14.105
1370,B,False,317.26,314.58,317.66,316.24,312.48,309.12,314.85,317.01,317.24,322.51,323.07,318.49,322.78,319.72,317.43
1371,B,False,108.07,111.33,108.27,105.12,108.55,105.68,103.59,105.7,105.08,104.94,104.85,102.84,101.72,102.85,99.179
1372,B,False,405.49,398.05,402.8,396.67,411.25,410.93,416.18,412.45,415.51,416.35,422.53,419.7,414.81,414.24,423.15
1373,B,False,37.89,38.742,42.691,48.507,46.841,39.534,41.281,39.058,38.67,38.467,33.041,34.014,34.228,39.994,40.521
1374,B,False,516.26,518.44,519.49,530.72,518.33,510.11,500.81,495.25,492.37,489.0,481.01,481.33,477.21,482.22,486.85
1375,B,False,154.06,154.88,154.94,154.8,151.58,153.44,153.52,154.87,151.77,156.23,155.09,153.52,154.56,156.57,159.06
