,FLARE_TYPE,COINCIDENCE,SHRGT45_1,SHRGT45_2,SHRGT45_3,SHRGT45_4,SHRGT45_5,SHRGT45_6,SHRGT45_7,SHRGT45_8,SHRGT45_9,SHRGT45_10,SHRGT45_11,SHRGT45_12,SHRGT45_13,SHRGT45_14,SHRGT45_15
2078,N,False,31.443,31.425,31.097,30.993,30.808,31.281,31.365,31.397,31.206,31.177,31.226,31.21,31.161,31.304,31.362
2079,N,False,1.5838,1.7241,0.63058,0.5641,1.2612,1.0903,0.51706,1.9837,1.6658,1.5385,1.0886,0.489,1.9222,2.5737,1.8366
2080,N,False,19.32,19.612,18.463,18.45,19.37,19.293,19.488,18.391,16.682,16.946,16.152,15.093,15.987,15.771,15.733
2081,N,False,6.3439,7.3859,6.7257,5.3004,7.3084,7.2934,8.2474,7.9796,6.5461,7.554,11.278,6.7257,5.7998,5.6785,4.5161
2082,N,False,7.1907,8.152,11.234,7.5712,7.4223,8.6475,10.446,8.6755,8.8612,7.9326,10.619,9.4163,10.544,10.878,7.9473
2083,N,False,22.628,21.49,21.6,21.631,21.57,21.733,21.676,20.992,21.576,22.215,21.936,20.98,19.721,21.614,21.043
2084,N,False,49.542,49.703,49.577,49.534,49.246,48.996,48.742,48.793,48.347,48.01,47.761,47.395,47.431,47.014,46.782
2085,N,False,49.596,49.588,49.471,49.542,49.703,49.577,49.534,49.246,48.996,48.742,48.793,48.347,48.01,47.761,47.395
2086,N,False,13.308,12.241,14.781,14.37,14.93,12.817,12.595,11.565,11.718,11.612,10.731,10.678,9.4012,7.5456,9.2717
2087,N,False,30.719,29.621,30.101,30.548,32.486,30.342,29.552,28.276,29.342,28.838,29.149,28.377,30.477,29.842,29.32
2088,N,False,10.355,10.326,11.06,10.606,10.219,9.1209,10.836,10.078,8.5711,10.265,9.0412,7.2947,12.3,9.6461,9.3696
