,time_start,time_peak,time_end,nar,xray_class,magnitude,COINCIDENCE,before_coincident_flare,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf,expected_timepoint,observed_timepoint,time_difference
1832,2016-02-16 20:48:00,not applicable,not applicable,12502.0,N,0.0,False,False,11.588,166.26,34.558,76.339,156.51,159.61,0.94578,0.0055286,2374.1,23.574,2.4898,1017100000000.0,6.9179,6.6085e+21,144.32,2694000000000.0,1.3856e+21,90.028,27.679,48.444,2016-02-15 23:48:00,2016-02-15 23:48:00,0 days 00:00:00
1833,2016-02-23 10:12:00,not applicable,not applicable,12504.0,N,0.0,False,False,2.4283,38.849,26.536,41.617,121.0,120.17,-0.11615,0.0019091,1505.6,21.77,0.0,97334000000.0,0.78616,2.5433e+21,41.593,974810000000.0,7.6207e+20,0.0,0.0,0.0,2016-02-22 13:12:00,2016-02-22 13:12:00,0 days 00:00:00
1834,2016-02-27 22:12:00,not applicable,not applicable,12507.0,N,0.0,False,False,19.687,66.822,27.718,41.056,95.819,95.24,-0.017268,0.0031814,1777.4,19.257,2.7671,974140000000.0,3.022,1.4606e+22,218.54,3967900000000.0,4.2315e+21,0.0,0.0,0.0,2016-02-27 01:12:00,2016-02-27 01:12:00,0 days 00:00:00
1837,2016-03-08 00:24:00,not applicable,not applicable,12517.0,N,0.0,False,False,11.114,63.494,28.579,39.672,101.12,100.58,-0.23425,-0.0026046,1782.3,23.499,0.0,987450000000.0,3.5388,1.01e+22,123.56,2705300000000.0,2.5839e+21,0.0,0.0,0.0,2016-03-07 03:24:00,2016-03-07 03:24:00,0 days 00:00:00
1838,2016-03-13 14:48:00,not applicable,not applicable,12520.0,N,0.0,False,False,0.6768,42.687,32.87,79.305,159.67,161.12,-0.22451,-0.00098659,2207.1,20.831,0.0,122900000000.0,1.1645,2.0137e+21,42.38,793840000000.0,4.992e+20,0.0,0.0,0.0,2016-03-12 17:48:00,2016-03-12 17:48:00,0 days 00:00:00
1839,2016-03-18 23:48:00,not applicable,not applicable,12525.0,N,0.0,False,False,0.48263,53.785,33.552,89.305,175.47,177.2,0.56156,-0.00071821,2854.7,21.653,0.0,196710000000.0,4.0179,2.5476e+21,44.234,790070000000.0,5.0911e+20,0.0,0.0,0.0,2016-03-18 02:48:00,2016-03-18 02:48:00,0 days 00:00:00
1840,2016-04-03 23:48:00,not applicable,not applicable,12527.0,N,0.0,False,False,0.99835,20.288,28.895,49.785,119.72,123.49,-0.77364,-0.0040094,1669.8,22.887,0.0,101340000000.0,1.6064,5.5217e+20,11.178,268130000000.0,1.474e+20,0.0,0.0,0.0,2016-04-03 02:48:00,2016-04-03 02:48:00,0 days 00:00:00
1841,2016-04-12 22:36:00,not applicable,not applicable,12530.0,N,0.0,False,False,30.77,91.073,48.127,70.731,121.21,118.96,-0.15137,0.01189,6564.2,35.534,0.0,1802400000000.0,28.439,2.2561e+22,119.27,2546100000000.0,1.7368e+21,0.0,0.0,0.0,2016-04-12 01:36:00,2016-04-12 01:36:00,0 days 00:00:00
1872,2017-04-01 17:36:00,not applicable,not applicable,12649.0,N,0.0,False,False,6.0632,46.097,30.45,61.624,141.0,136.58,-0.25381,0.0075132,2070.8,23.716,1.7541,262110000000.0,4.2131,2.2194e+21,39.297,857740000000.0,4.9282e+20,0.0,0.0,0.0,2017-03-31 20:36:00,2017-03-31 20:36:00,0 days 00:00:00
1873,2017-06-18 16:12:00,not applicable,not applicable,12662.0,N,0.0,False,False,18.178,246.51,49.742,52.845,97.293,93.61,-0.098532,0.0025087,10739.0,41.308,0.0,387570000000.0,43.59,1.0335e+23,260.67,6008500000000.0,4.6676e+21,0.0,0.0,0.0,2017-06-17 19:12:00,2017-06-17 19:12:00,0 days 00:00:00
1874,2017-07-15 05:36:00,not applicable,not applicable,12666.0,N,0.0,False,False,65.86,253.73,37.091,75.369,156.49,157.82,0.66757,0.012419,2995.4,27.441,3.1341,2865000000000.0,12.219,2.1095e+22,339.92,6490800000000.0,3.5003e+21,183.53,117.78,51.053,2017-07-14 08:36:00,2017-07-14 08:36:00,0 days 00:00:00
1875,2017-07-24 06:24:00,not applicable,not applicable,12668.0,N,0.0,False,False,4.8181,124.93,33.533,71.044,159.99,168.49,1.3993,-0.0068148,924.91,17.611,2.7492,537330000000.0,5.0919,8.6843e+20,36.814,772810000000.0,4.3574e+20,0.0,0.0,0.0,2017-07-23 09:24:00,2017-07-23 09:24:00,0 days 00:00:00
1876,2017-07-30 06:36:00,not applicable,not applicable,12669.0,N,0.0,False,False,1.09,21.128,44.214,63.572,126.78,128.02,0.60462,0.0023142,2263.6,30.896,2.1813,154480000000.0,25.053,1.4159e+21,17.047,418860000000.0,2.5535e+20,0.0,0.0,0.0,2017-07-29 09:36:00,2017-07-29 09:36:00,0 days 00:00:00
1878,2017-09-09 16:24:00,not applicable,not applicable,12678.0,N,0.0,False,False,0.043894,213.52,50.033,77.632,131.13,129.17,0.71456,-8.0702e-06,5501.5,36.542,3.0948,2073100000000.0,29.987,3.9738e+22,346.81,6509100000000.0,3.394e+21,106.7,798.95,17.899,2017-09-08 19:24:00,2017-09-08 19:24:00,0 days 00:00:00
1880,2017-10-17 15:24:00,not applicable,not applicable,12684.0,N,0.0,False,False,0.84504,41.486,30.358,48.848,133.82,132.25,0.51231,0.00046507,1957.0,24.398,0.0,486230000000.0,6.109,4.7223e+21,73.225,1585800000000.0,1.1038e+21,0.0,0.0,0.0,2017-10-16 18:24:00,2017-10-16 18:24:00,0 days 00:00:00
1881,2017-12-12 19:00:00,not applicable,not applicable,12691.0,N,0.0,False,False,13.355,71.706,37.899,80.589,162.67,161.48,0.81647,0.0066278,3393.0,27.2,0.0,838700000000.0,11.315,9.0796e+21,145.29,2464500000000.0,1.5026e+21,92.72,52.675,37.457,2017-12-11 22:00:00,2017-12-11 22:00:00,0 days 00:00:00
1883,2018-01-10 08:12:00,not applicable,not applicable,12694.0,N,0.0,False,False,17.154,54.33,36.381,72.001,150.23,148.86,0.78746,0.012359,3101.6,25.909,0.0,619950000000.0,8.5735,5.7173e+21,68.511,1335400000000.0,9.3052e+20,0.0,0.0,0.0,2018-01-09 11:12:00,2018-01-09 11:12:00,0 days 00:00:00
