,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5,MEANGBH_6,MEANGBH_7,MEANGBH_8,MEANGBH_9,MEANGBH_10,MEANGBH_11,MEANGBH_12,MEANGBH_13,MEANGBH_14,MEANGBH_15,MEANGBH_16,MEANGBH_17,MEANGBH_18,MEANGBH_19,MEANGBH_20
2163,N,False,67.181,67.02,66.458,65.964,64.453,64.63,65.089,63.248,62.475,61.836,62.21,62.375,62.183,62.011,62.135,62.774,63.666,62.816,63.005,62.888
2164,N,False,61.804,60.466,60.368,60.6,58.766,58.786,59.874,58.667,58.139,57.635,57.361,56.655,57.594,57.208,57.432,56.84,56.778,55.714,54.83,55.6
2165,N,False,56.314,56.079,55.691,55.465,55.156,55.369,55.242,55.117,54.65,54.846,54.427,54.694,54.096,54.331,54.376,54.1,54.104,54.068,53.597,53.343
2166,N,False,57.626,57.604,57.44,56.948,55.946,53.87,52.984,53.342,52.026,50.605,49.387,48.15,47.425,47.583,47.357,48.592,49.976,50.495,50.732,52.918
2167,N,False,58.276,57.905,58.081,59.412,59.286,60.204,60.541,61.062,61.889,62.751,64.963,66.49,66.457,66.673,67.503,67.969,67.298,67.266,66.542,65.012
2168,N,False,63.126,65.214,66.321,67.59,68.46,68.313,71.023,71.553,72.877,74.842,75.976,76.033,76.34,77.795,77.659,76.339,77.647,75.834,74.492,72.409
2169,N,False,49.747,50.911,49.027,49.279,49.076,45.744,45.17,44.414,43.195,43.249,41.606,41.047,41.011,41.581,40.534,41.617,41.959,40.953,41.162,40.072
2170,N,False,43.979,43.237,42.916,42.305,42.961,43.418,43.598,43.173,42.409,42.525,42.188,41.631,41.548,40.658,41.073,41.056,39.897,40.343,40.868,40.178
2171,N,False,37.805,38.819,38.153,38.295,38.345,37.724,37.861,38.842,39.454,38.94,39.272,39.223,38.604,39.301,38.981,39.672,39.052,39.58,40.452,41.687
2172,N,False,77.474,75.72,74.144,73.315,71.905,69.738,72.898,70.794,70.302,68.92,71.374,73.574,81.691,82.082,82.524,79.305,79.96,80.084,82.558,80.203
2173,N,False,84.368,86.354,86.878,88.631,82.061,85.984,82.644,77.353,81.086,83.616,81.027,78.135,80.86,85.974,83.614,89.305,89.753,89.655,94.056,95.259
2174,N,False,50.541,49.66,52.499,48.835,48.865,50.796,48.925,56.79,54.03,51.034,51.842,49.622,47.201,52.716,54.555,49.785,54.78,56.736,57.803,54.873
2175,N,False,72.757,71.403,73.475,71.159,73.175,71.137,70.795,71.583,70.458,71.313,70.574,70.293,69.705,68.406,69.083,70.731,67.868,70.206,68.491,71.871
2176,N,False,48.8,50.106,50.453,51.127,52.143,52.315,52.582,53.399,52.839,51.13,51.238,50.692,49.817,49.206,48.93,48.864,49.108,48.885,48.024,47.539
2177,N,False,68.854,70.554,67.571,68.152,67.085,67.957,67.352,64.866,71.133,71.086,72.467,70.457,71.806,73.778,72.717,72.618,76.903,78.563,78.742,74.998
2178,N,False,54.267,48.551,47.742,51.534,44.582,55.806,52.733,46.638,39.607,42.481,50.164,49.845,46.713,47.029,60.592,56.099,54.718,61.033,75.725,68.781
