,FLARE_TYPE,COINCIDENCE,TOTUSJZ_1,TOTUSJZ_2,TOTUSJZ_3,TOTUSJZ_4,TOTUSJZ_5,TOTUSJZ_6,TOTUSJZ_7,TOTUSJZ_8,TOTUSJZ_9,TOTUSJZ_10,TOTUSJZ_11,TOTUSJZ_12,TOTUSJZ_13,TOTUSJZ_14,TOTUSJZ_15,TOTUSJZ_16,TOTUSJZ_17,TOTUSJZ_18,TOTUSJZ_19,TOTUSJZ_20
1738,B,False,13005000000000.0,13135000000000.0,13374000000000.0,13155000000000.0,13363000000000.0,12919000000000.0,12943000000000.0,12907000000000.0,12681000000000.0,13074000000000.0,13180000000000.0,12940000000000.0,13084000000000.0,12913000000000.0,13173000000000.0,12814000000000.0,13211000000000.0,13111000000000.0,12702000000000.0,12901000000000.0
1739,B,False,4346300000000.0,4523800000000.0,4423500000000.0,4409000000000.0,4474100000000.0,4367900000000.0,4279800000000.0,4380900000000.0,4442400000000.0,4419400000000.0,4320600000000.0,4377700000000.0,4324500000000.0,4302100000000.0,4298700000000.0,4133700000000.0,4128100000000.0,4216500000000.0,4224900000000.0,4302700000000.0
1740,B,False,12938000000000.0,13102000000000.0,13204000000000.0,13451000000000.0,13898000000000.0,13972000000000.0,14223000000000.0,14340000000000.0,14762000000000.0,14568000000000.0,14538000000000.0,15136000000000.0,15062000000000.0,14570000000000.0,14993000000000.0,14796000000000.0,14813000000000.0,14497000000000.0,14595000000000.0,15178000000000.0
1741,B,False,1966300000000.0,1965700000000.0,1893300000000.0,1795600000000.0,1698700000000.0,1604200000000.0,1542400000000.0,1608000000000.0,1711100000000.0,1655400000000.0,1702700000000.0,1722000000000.0,1771000000000.0,1736900000000.0,1850300000000.0,1682400000000.0,1812200000000.0,1795200000000.0,1759400000000.0,1962100000000.0
1742,B,False,13452000000000.0,13378000000000.0,13572000000000.0,13735000000000.0,14004000000000.0,14343000000000.0,14590000000000.0,15447000000000.0,15609000000000.0,16756000000000.0,16488000000000.0,16661000000000.0,16442000000000.0,16495000000000.0,16417000000000.0,15669000000000.0,15781000000000.0,15190000000000.0,14876000000000.0,14674000000000.0
1743,B,False,14725000000000.0,15046000000000.0,14975000000000.0,15112000000000.0,15185000000000.0,15404000000000.0,15364000000000.0,15964000000000.0,16266000000000.0,16530000000000.0,16981000000000.0,16669000000000.0,16906000000000.0,17308000000000.0,17220000000000.0,17766000000000.0,17729000000000.0,18467000000000.0,18308000000000.0,18353000000000.0
1744,B,False,5980800000000.0,5755300000000.0,5779000000000.0,5809100000000.0,5655800000000.0,5769900000000.0,5671500000000.0,5626600000000.0,5551700000000.0,5472000000000.0,5416100000000.0,5482900000000.0,5453500000000.0,5383900000000.0,5135000000000.0,5094700000000.0,5126000000000.0,5085500000000.0,5037100000000.0,5005500000000.0
1745,B,False,6071400000000.0,5983400000000.0,5813300000000.0,5881200000000.0,5665200000000.0,5801200000000.0,5735200000000.0,5814200000000.0,5792900000000.0,5721500000000.0,5682000000000.0,5518600000000.0,5532900000000.0,5430900000000.0,5557900000000.0,5931500000000.0,6070100000000.0,5787000000000.0,5913600000000.0,6041600000000.0
1746,B,False,23206000000000.0,22794000000000.0,22732000000000.0,22922000000000.0,22805000000000.0,22744000000000.0,22369000000000.0,22767000000000.0,23066000000000.0,23246000000000.0,23714000000000.0,24250000000000.0,23933000000000.0,24371000000000.0,24961000000000.0,25015000000000.0,25119000000000.0,25441000000000.0,25336000000000.0,24900000000000.0
1747,B,False,10513000000000.0,10266000000000.0,10093000000000.0,9985100000000.0,9980600000000.0,9912200000000.0,9698800000000.0,9760900000000.0,9760600000000.0,9752900000000.0,9609800000000.0,9649400000000.0,9825000000000.0,9555600000000.0,9898900000000.0,9716200000000.0,9682700000000.0,9560900000000.0,9452300000000.0,9324000000000.0
