,FLARE_TYPE,COINCIDENCE,R_VALUE_1,R_VALUE_2,R_VALUE_3,R_VALUE_4,R_VALUE_5,R_VALUE_6,R_VALUE_7,R_VALUE_8,R_VALUE_9,R_VALUE_10
151,M,False,5.1402,5.1363,5.1495,5.1503,5.1286,5.1408,5.1583,5.1352,5.1524,5.1569
152,M,False,5.1572,5.1636,5.1903,5.1816,5.1729,5.195,5.2001,5.217,5.2134,5.2007
153,M,False,4.9669,4.9508,4.9492,4.9748,4.9483,4.9473,4.9433,4.9253,4.9436,4.969
154,M,False,4.6839,4.6509,4.643,4.6423,4.6594,4.6837,4.6843,4.6864,4.6771,4.6362
155,M,True,3.6486,3.7866,3.6628,3.6381,3.6181,3.8089,3.666,3.4748,3.5448,3.334
156,M,False,1.7912,0.0,0.0,1.9099,0.0,0.0,0.0,0.0,0.0,0.0
157,M,False,3.5893,3.5022,3.6004,3.6096,3.6134,3.6005,3.5831,3.6654,3.3356,3.3681
158,M,True,4.5842,4.5682,4.4533,4.4958,4.7692,4.6428,4.6061,4.6478,4.7455,4.7562
159,M,False,4.0401,3.9935,3.9013,3.9817,3.9435,3.9678,3.9466,4.0013,4.0087,4.0262
160,M,True,4.8776,4.8935,4.8644,4.8851,4.8475,4.8647,4.8575,4.8403,4.8133,4.8662
161,M,True,5.0384,5.0362,5.0383,5.0058,5.0279,5.0421,4.9877,5.0057,5.0248,4.9983
162,M,False,5.0248,4.9983,4.9838,4.9866,4.9755,4.974,4.9894,4.9659,4.9345,4.9223
163,M,True,5.0121,5.0021,5.0148,5.0107,4.9833,4.9794,4.9816,4.9884,4.9687,4.9785
164,M,False,5.0081,5.0139,5.0257,5.0693,5.0523,5.0644,5.036,5.0069,5.0092,5.0024
165,M,False,5.0361,5.0577,5.0857,5.0808,5.0781,5.0976,5.0952,5.0639,5.07,5.033
166,M,False,4.1088,4.1,4.1262,4.1726,4.19,4.1573,4.199,4.1632,4.1398,4.1501
167,M,False,4.2509,4.29,4.361,4.3311,4.3386,4.2955,4.3114,4.2837,4.3219,4.2903
168,M,True,2.3106,3.9256,3.8568,3.8651,3.9902,3.9055,3.8719,3.5091,4.1793,4.2383
169,M,False,3.5906,3.5931,3.569,3.5091,3.5417,3.4667,3.4327,3.6687,3.4012,3.4773
170,M,False,3.3371,3.3517,3.5055,3.5973,3.6396,3.6638,3.6903,3.5806,3.6795,3.7273
171,M,False,4.715,4.6935,4.6793,4.7282,4.8229,4.8033,4.7962,4.78,4.7851,4.7748
172,M,True,4.2856,4.2677,4.3127,4.2716,4.2459,4.2665,4.2077,4.2779,4.2757,4.2295
173,M,False,4.228,4.2245,4.2228,4.1949,4.2622,4.2428,4.2189,4.2212,4.2664,4.2325
174,M,True,4.3212,4.2285,4.324,4.3465,4.3607,4.3774,4.3395,4.362,4.2999,4.3302
175,M,False,4.2433,4.2559,4.2236,4.2699,4.2808,4.276,4.2448,4.2358,4.2844,4.2941
176,M,True,4.2111,4.1788,4.1517,4.0848,4.0393,3.9806,4.0656,3.9784,4.0805,4.1188
177,M,False,4.2473,4.2966,4.2821,4.306,4.3693,4.3532,4.3529,4.3694,4.3829,4.4099
178,M,True,4.694,4.6556,4.6401,4.6678,4.7478,4.7772,4.6983,4.6807,4.6895,4.7075
179,M,False,4.8244,4.792,4.8045,4.7645,4.7828,4.7669,4.7866,4.7765,4.7578,4.7629
180,M,False,4.7819,4.721,4.7602,4.7727,4.7882,4.8079,4.7776,4.7699,4.8133,4.785
181,M,True,4.9674,4.9165,4.904,4.9512,4.9735,4.9292,4.9467,4.9569,4.9316,4.9426
182,M,True,4.9579,4.955,4.9383,5.0058,4.9779,4.958,4.9513,4.9644,4.9569,4.9644
183,M,True,4.9564,4.9236,4.9403,4.969,4.9899,4.9904,4.9742,4.983,4.9813,4.968
184,M,True,5.0128,5.0105,5.0279,5.0813,5.0601,5.0725,5.0733,5.0506,5.1121,5.1138
185,M,False,3.9851,4.0099,3.9628,3.9799,4.1265,4.0307,4.1484,4.0864,4.0289,3.9701
186,M,True,4.994,4.9456,4.9706,5.0226,5.0112,4.9982,5.0009,5.0055,5.0342,5.024
187,M,False,5.024,5.0184,5.0059,5.0199,5.0253,5.0563,5.0355,5.0326,5.0223,4.9965
188,M,False,5.0355,5.0326,5.0223,4.9965,4.9944,5.0311,5.0421,5.0303,5.0368,5.0384
189,M,True,5.0368,5.0384,5.0601,5.0627,5.0806,5.1028,5.0841,5.1115,5.0683,5.0921
190,M,True,5.0806,5.1028,5.0841,5.1115,5.0683,5.0921,5.096,5.0825,5.0904,5.1095
191,M,False,5.1365,5.1439,5.1543,5.1336,5.1282,5.1059,5.1291,5.1199,5.1009,5.1175
192,M,False,3.5509,3.5557,3.5005,4.0388,4.2096,4.3468,4.293,4.2382,4.269,4.1525
193,M,True,5.1195,5.1361,5.1497,5.1582,5.1443,5.1532,5.151,5.1392,5.1423,5.1533
194,M,False,5.1443,5.1532,5.151,5.1392,5.1423,5.1533,5.1885,5.1737,5.1814,5.1671
195,M,False,5.1737,5.1814,5.1671,5.1784,5.2009,5.2072,5.1652,5.1686,5.1925,5.1927
196,M,True,5.227,5.243,5.2331,5.2505,5.2287,5.232,5.2336,5.2406,5.2216,5.2515
197,M,False,5.2406,5.2216,5.2515,5.2359,5.2201,5.207,5.1969,5.2157,5.2335,5.2163
198,M,True,5.1878,5.2163,5.2254,5.213,5.2206,5.1954,5.2228,5.2486,5.2543,5.246
199,M,False,5.2228,5.2486,5.2543,5.246,5.2374,5.2347,5.226,5.23,5.2283,5.2293
200,M,True,5.2053,5.2266,5.2297,5.1933,5.225,5.2315,5.2239,5.2208,5.1947,5.1938
201,M,False,5.1811,5.1728,5.1919,5.1969,5.2127,5.2241,5.2292,5.205,5.2364,5.2378
202,M,True,5.2032,5.1929,5.1738,5.1945,5.2194,5.2239,5.2204,5.2045,5.2101,5.2275
203,M,False,5.2817,5.2777,5.2852,5.2543,5.2593,5.2649,5.2551,5.2483,5.2403,5.2308
