,FLARE_TYPE,COINCIDENCE,USFLUX_1,USFLUX_2,USFLUX_3,USFLUX_4,USFLUX_5,USFLUX_6,USFLUX_7,USFLUX_8,USFLUX_9,USFLUX_10
286,M,False,5.7922e+22,5.7849e+22,5.7196e+22,5.7445e+22,5.7699e+22,5.772e+22,5.7365e+22,5.7834e+22,5.7983e+22,5.8481e+22
287,M,True,2.0167e+22,2.0304e+22,2.0443e+22,2.0636e+22,2.0666e+22,2.0929e+22,2.0968e+22,2.1025e+22,2.1172e+22,2.1262e+22
288,M,False,2.0443e+22,2.0636e+22,2.0666e+22,2.0929e+22,2.0968e+22,2.1025e+22,2.1172e+22,2.1262e+22,2.1187e+22,2.1182e+22
289,M,False,6.266e+22,6.2581e+22,6.3235e+22,6.3628e+22,6.3742e+22,6.4012e+22,6.3767e+22,6.4157e+22,6.4199e+22,6.4233e+22
290,M,False,2.9679e+22,2.9478e+22,2.9168e+22,2.8857e+22,2.8504e+22,2.8603e+22,2.7667e+22,2.793e+22,2.7188e+22,2.6908e+22
291,M,False,3.3026e+22,3.3044e+22,3.3428e+22,3.3433e+22,3.3523e+22,3.3409e+22,3.3388e+22,3.3377e+22,3.3313e+22,3.3248e+22
292,M,True,2.9011e+22,2.8912e+22,2.8858e+22,2.8727e+22,2.8884e+22,2.8687e+22,2.8646e+22,2.8623e+22,2.8487e+22,2.8464e+22
293,M,False,2.6158e+22,2.5899e+22,2.5629e+22,2.537e+22,2.5263e+22,2.5299e+22,2.5237e+22,2.5456e+22,2.5493e+22,2.5416e+22
294,M,True,6.7589e+22,6.6735e+22,6.6294e+22,6.5996e+22,6.5606e+22,6.5605e+22,6.5515e+22,6.4979e+22,6.4579e+22,6.5096e+22
295,M,True,7.0559e+22,7.0649e+22,7.0012e+22,6.9431e+22,6.9564e+22,6.9415e+22,6.8504e+22,6.8321e+22,6.8336e+22,6.8314e+22
296,M,True,6.1093e+22,6.0738e+22,6.0488e+22,6.0461e+22,6.0464e+22,6.0453e+22,6.079e+22,6.1232e+22,6.1758e+22,6.2508e+22
297,M,True,5.6916e+22,5.6407e+22,5.6401e+22,5.6364e+22,5.6369e+22,5.6483e+22,5.652e+22,5.6675e+22,5.6823e+22,5.6821e+22
298,M,True,5.0596e+22,5.0881e+22,5.1105e+22,5.1546e+22,5.1937e+22,5.2434e+22,5.2582e+22,5.2823e+22,5.2891e+22,5.2983e+22
299,M,False,6.4654e+21,6.4779e+21,6.5006e+21,6.5245e+21,6.4798e+21,6.5506e+21,6.5775e+21,6.5849e+21,6.6246e+21,6.5738e+21
