,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10
1843,B,False,74.598,72.535,72.967,72.196,72.733,71.961,73.651,71.884,71.009,69.356
1844,B,False,275.53,273.52,278.01,273.73,274.84,276.22,273.0,275.5,278.58,275.76
1845,B,False,46.841,39.534,41.281,39.058,38.67,38.467,33.041,34.014,34.228,39.994
1846,B,False,315.83,317.24,323.29,319.32,318.93,321.19,317.67,320.84,316.86,311.82
1847,B,False,280.18,279.86,277.33,275.52,273.88,276.05,278.6,276.64,275.74,278.01
1848,B,False,212.32,206.99,210.46,210.38,207.96,209.47,209.61,213.6,213.7,219.0
1849,N,False,66.244,64.657,64.166,62.974,61.896,62.555,61.575,60.653,59.53,61.681
1850,N,False,35.994,36.051,36.255,35.872,35.136,35.934,35.548,34.912,35.067,34.437
1851,N,False,38.171,38.208,39.313,39.512,39.45,37.991,39.167,37.594,38.443,38.272
1852,N,False,44.821,43.759,41.165,43.542,44.777,45.567,48.276,47.458,47.717,47.503
1853,N,False,44.801,44.497,43.495,44.668,44.108,43.306,42.556,42.19,41.593,42.328
1854,N,False,78.26,78.008,79.822,79.24,77.081,75.868,79.335,80.135,77.51,79.166
1855,N,False,33.737,33.347,32.877,32.962,33.15,34.464,33.073,32.277,31.543,32.671
1856,N,False,60.222,60.133,58.096,58.817,58.772,57.119,58.72,61.237,61.941,59.712
1857,N,False,96.577,96.706,93.932,95.208,96.47,94.349,95.272,94.901,94.232,99.597
1858,N,False,35.858,35.228,34.805,35.001,35.817,34.41,35.43,35.345,34.096,33.433
1859,N,False,36.834,36.245,36.26,35.349,36.901,37.052,36.972,36.432,35.61,36.046
1860,N,False,66.379,66.426,65.445,66.546,66.581,64.655,64.292,64.552,64.811,68.051
1861,N,False,91.097,88.515,88.01,86.338,84.33,85.858,87.326,88.287,88.386,89.391
1862,N,False,59.259,57.232,57.359,56.695,55.249,52.403,53.92,52.971,52.493,52.887
1863,N,False,95.86,96.691,95.506,96.055,95.911,96.56,96.568,96.804,95.171,92.231
1864,N,False,137.79,138.35,136.43,138.79,138.29,139.22,139.5,139.2,138.33,138.38
1865,N,False,35.494,35.932,36.099,36.589,37.804,37.118,36.343,35.731,35.766,35.387
1866,N,False,104.02,103.46,103.56,101.75,103.76,105.89,105.43,101.26,102.48,101.02
1867,N,False,34.459,34.645,35.495,32.936,33.113,33.256,32.083,33.567,34.194,33.873
1868,N,False,21.737,21.966,20.591,21.17,21.208,20.293,20.778,20.2,19.837,19.725
1869,N,False,148.47,151.32,151.3,150.49,155.39,155.91,157.42,157.2,158.34,160.38
1870,N,False,276.07,276.67,271.91,275.15,277.27,279.66,280.19,284.3,280.96,280.01
1871,N,False,142.07,141.98,140.89,140.75,141.89,143.13,141.52,140.73,143.2,139.81
