T_REC,NOAA_AR,USFLUX,MEANPOT,EPSZ,TOTBSQ,TOTFZ,TOTABSTWIST
2011.03.06_12:00:00.000_TAI,11164,5.651745e+22,10721.0,-0.1112382444235433,79283732162.86856,-4660.269563053449,9105.74082105124
2012.05.09_20:24:00.000_TAI,11476,5.340647e+22,16973.0,-0.0688640889748791,79367792494.96512,-2888.084715704729,9165.537384258763
2012.05.16_01:48:00.000_TAI,11476,4.828057e+22,6038.8,-0.3653397982619665,40911809387.17836,-7898.02350563333,5322.3252170612295
2012.06.02_18:00:00.000_TAI,11496,6.399036e+22,3363.3,-0.5127815857792828,43464422603.43103,-11777.12049891243,8321.888015409333
2012.06.05_20:12:00.000_TAI,11494,1.126306e+22,11897.0,-0.110759694425173,14957786988.54172,-875.4310091602441,1747.5707232968468
2014.02.13_00:36:00.000_TAI,11974,3.232311e+22,13097.0,-0.1991220754598774,38195518919.43378,-4018.876302289653,5163.705982819383
2014.02.09_14:12:00.000_TAI,11974,1.749541e+22,7544.2,-0.3644041740675239,15418004747.981562,-2968.8226119906776,2741.8038447993385
2021.10.28_16:12:00.000_TAI,12891,2.471748e+22,7510.0,-0.398586169614932,20124983000.8142,-4238.680362957038,4157.510413235781
2015.03.12_16:12:00.000_TAI,12297,2.505534e+22,19534.0,-0.3638737744251938,20575012467.66749,-3956.067247691528,4151.151934862014
2012.06.30_19:24:00.000_TAI,11513,1.927027e+22,6980.0,-0.3018153401414736,18028792875.70277,-2875.284644195501,3503.7095182244584
2012.07.01_00:36:00.000_TAI,11513,2.333341e+22,5943.4,-0.298053135262822,21171476383.81756,-3334.3999860313365,4040.487605648226
2013.04.22_10:12:00.000_TAI,11726,3.076736e+22,17176.0,-0.1450596088132464,39042586679.97308,-2992.663954069049,5028.3252718743215
2014.03.30_14:12:00.000_TAI,12014,3.1251e+22,5045.8,-0.1237025038555277,42402254543.30978,-2771.661712670756,5352.009669177262
2011.09.22_09:48:00.000_TAI,11302,3.259322e+22,12662.0,-0.1144531016120362,43059042072.13971,-2604.1425221107143,5476.709324566459
2012.06.14_11:00:00.000_TAI,11504,3.622097e+22,15398.0,-0.1021979757333122,47280866986.92479,-2553.292634547832,6414.865521809526
2012.07.03_10:00:00.000_TAI,11515,3.671817e+22,12160.0,-0.0920116429985436,49463831957.51592,-2404.935295808224,6714.441823810356
2013.10.30_20:36:00.000_TAI,11884,3.754399e+22,11343.0,-0.075954538884996,50268534351.85182,-2017.543294543012,6856.52780352299
2012.07.03_14:36:00.000_TAI,11515,3.865081e+22,12308.0,-0.0727757260806586,51844175267.93768,-1993.697831396304,7253.61944161904
2014.02.15_10:12:00.000_TAI,11977,2.128774e+22,7385.7,-0.1728679096556183,26485051086.58962,-2419.290658973398,3371.141511479024
2013.10.26_07:12:00.000_TAI,11875,4.110343e+22,12675.0,-0.0955837062911511,55048824603.14192,-2780.383893786575,7375.011125792835
2013.11.13_18:00:00.000_TAI,11899,4.125064e+22,14608.0,-0.1127165016384885,55778176992.24038,-3322.1918118782887,7530.658181881698
2012.07.04_01:12:00.000_TAI,11515,4.128248e+22,12611.0,-0.1164518651084617,56114031790.148766,-3452.9538118280348,7610.5052815994095
