,FLARE_TYPE,COINCIDENCE,LABEL,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
62,M,True,1,387.47208,930.3091999999998,46.46468000000001,40.03619999999999,69.28842,94.88333999999999,0.011872938600000002,0.013588588000000002,11524.26,41.92360000000001,4.448697999999999,12272646000000.0,38.35988,4.1857360000000005e+23,1511.1579999999997,20552780000000.0,2.1830540000000003e+22,431.48920000000004,4316.511199999999,51.12186
63,M,False,1,585.8382000000001,1015.7606000000003,44.87067999999997,45.30606000000001,74.07102,93.42774000000001,-0.08877719200000003,0.015975172000000003,10262.696000000002,39.70816,4.749092000000001,15788418000000.0,34.11554,5.020028e+23,2029.1359999999993,29994440000000.0,2.8480959999999994e+22,572.259,37782.434,34.85457999999999
64,M,False,1,379.324,920.7399999999997,33.179659999999984,48.637820000000005,112.95820000000002,114.30399999999996,-0.21427828200000001,0.010911455999999996,3697.834,27.6776,4.05759,20756040000000.0,11.996316000000002,1.7114299999999997e+23,1490.0559999999996,30282320000000.0,2.2927780000000006e+22,515.9374,1332.8094,61.39928
65,M,False,1,55.297106000000014,835.0688,46.895480000000006,30.008660000000006,52.40014000000001,62.69472000000002,-0.1652468374,0.0021774340000000007,10785.333999999999,39.23922,4.7337979999999975,3489519800000.0,38.24233999999999,2.917348e+23,872.8222000000001,11453954000000.0,1.4903771999999994e+22,304.7306,77623.1,17.051137999999995
66,M,False,1,335.3718,486.1372000000002,38.82322,57.54818000000002,109.34019999999997,117.13900000000001,-0.135587798,0.015123421999999997,5907.214000000002,32.803140000000006,4.469322,15994068000000.0,20.703280000000003,1.7590980000000007e+23,1440.95,25228840000000.0,1.5424359999999998e+22,163.89860000000002,5741.220000000001,16.40244
67,M,False,1,55.0574976,846.6637999999999,44.62058,55.316799999999986,98.74870000000001,104.82636000000002,0.13299493999999998,0.0014850904480000005,7748.838000000002,37.48056000000001,4.56399,3007027600000.0,32.150099999999995,3.581442e+23,1812.408,36674000000000.0,2.3088979999999998e+22,132.87680000000003,7012.254000000002,10.5244
68,M,True,1,309.95259999999996,1327.9559999999997,55.85105999999999,77.78276,109.44739999999997,116.75699999999999,0.2697270000000001,0.008377906600000002,12970.02,45.769580000000005,4.816324,16138494000000.0,46.186499999999995,6.213824000000001e+23,2978.1019999999994,52131420000000.0,2.186712e+22,121.32299999999998,77506.28,6.339881999999998
69,M,True,1,1093.8759999999995,1269.8279999999997,54.284299999999995,76.22411999999997,110.64959999999998,117.861,0.24867375999999988,0.03398846,12966.38,44.54639999999999,4.765922,40529120000000.0,45.16196,5.5458600000000005e+23,2706.8320000000003,44554720000000.0,2.001398e+22,152.629,46698.14,8.381626
70,M,False,1,872.9846000000002,1085.294,61.395,62.154520000000005,82.96495999999999,92.98132,0.041448923199999994,0.022204679999999997,22244.9,53.87728,4.795541999999999,30913120000000.0,63.58845999999998,1.1620780000000004e+24,2588.7300000000005,47405520000000.0,2.7210419999999995e+22,178.3198,56509.98,7.500261999999997
71,M,True,1,1133.4879999999998,1259.5760000000005,53.366279999999996,71.41852,107.4862,114.84219999999999,0.2445014,0.03378128,12082.06,44.598639999999996,4.740505999999999,40328240000000.0,45.21416,5.375566000000001e+23,2668.9500000000007,43769540000000.0,2.0539900000000006e+22,166.97619999999998,40849.3,9.265584
72,M,False,1,1218.412,1293.2820000000002,50.5199,67.17678000000002,107.51279999999997,115.68540000000002,0.07444200599999996,0.03298398,10754.756,42.24045999999999,4.7938019999999995,50784880000000.0,40.90389999999999,5.279608e+23,2751.886,47316420000000.0,2.2782280000000003e+22,183.9818,39017.06,10.767740000000002
73,M,True,1,966.0584000000001,1156.2319999999997,46.917959999999994,48.44425999999999,81.98664,88.38473999999998,-0.0029870288,0.017877999999999998,11202.56,40.768,4.624182000000001,42418380000000.0,37.4305,8.036928e+23,2585.644,47911780000000.0,3.7427380000000007e+22,269.6778,26249.56,14.45654
74,M,False,1,819.2977999999999,1084.69,44.797499999999985,44.72368,78.29342,83.77295999999998,0.04709986999999999,0.015698680000000003,10323.579999999998,39.235620000000004,4.556412,35813560000000.0,33.85038,7.155744000000001e+23,2297.8119999999994,41460280000000.0,3.6851599999999993e+22,282.5902,23500.88,16.364659999999997
75,M,True,1,84.40482,745.9678000000001,35.01333999999999,47.434919999999984,107.5218,107.13680000000002,-0.0032183319999999956,-0.002961568,4422.407999999999,28.50474,3.8670179999999994,1518401400000.0,14.851480000000002,1.6808159999999995e+23,1018.0436000000003,21604880000000.0,1.867246e+22,263.62859999999995,768.5546000000002,29.408360000000002
76,M,False,1,73.86256,585.9158,31.935980000000004,38.932159999999996,95.17128000000001,95.15072000000002,-0.09381275999999998,-0.002533739999999999,4057.05,25.912519999999983,3.8671380000000006,2835930000000.0,11.66648,1.5811080000000003e+23,909.5138000000001,18637300000000.0,1.933044e+22,237.87020000000007,46.672399999999996,31.131140000000002
77,M,False,1,71.92920000000001,548.4326000000001,31.78695999999999,37.627559999999995,92.40701999999999,92.30109999999999,-0.11013126,-0.0024909739999999995,3974.739999999999,25.617240000000002,3.87083,3118092000000.0,11.555620000000001,1.5277260000000004e+23,856.1864,17635160000000.0,1.8913320000000004e+22,239.82019999999997,0.0,32.636679999999984
78,M,True,1,26.381184000000005,1449.4660000000003,51.84698000000002,69.29575999999999,111.79560000000001,112.47079999999998,0.45650139999999984,-0.00012802554000000002,7578.016,40.81866000000001,4.34055,8452488000000.0,38.679800000000014,3.479594e+23,1798.9320000000007,38657860000000.0,1.931458e+22,117.44298,14229.152,9.147499999999999
